fila,subfila,columna,subcolumna,valor
Huelva,51 MAQ. ESPECIFICA CIERTAS INDUST,2019,EXPORT,"6911212,18"
Huelva,52 EQUIPO OFICINA Y TELECOMUNIC.,2019,EXPORT,"1094167,71"
Huelva,53 MATERIAL TRANSPORTE,2019,EXPORT,"2862142,26"
Huelva,54 OTROS BIENES DE EQUIPO,2019,EXPORT,"33603193,96"
Huelva,61 AUTOMOVILES Y MOTOS,2019,EXPORT,"3808946,34"
Huelva,62 COMPONENTES DEL AUTOMOVIL,2019,EXPORT,"5040427,36"
Huelva,71 ELECTRODOMESTICOS,2019,EXPORT,"21083,32"
Huelva,72 ELECTRONICA DE CONSUMO,2019,EXPORT,"2681,02"
Huelva,73 MUEBLES,2019,EXPORT,"617726,55"
Huelva,74 OTROS BIENES CONSUMO DURADERO,2019,EXPORT,"423856,28"
Huelva,81 TEXTILES Y CONFECCION,2019,EXPORT,"5128853,36"
Huelva,82 CALZADO,2019,EXPORT,"3620869,38"
Huelva,83 JUGUETES,2019,EXPORT,"3916807,71"
Huelva,84 ALFARERIA,2019,EXPORT,"24760,60"
Huelva,85 JOYERIA Y RELOJES,2019,EXPORT,"11619,68"
Huelva,86 CUERO Y MANUFACTURAS DEL CUERO,2019,EXPORT,"1352994,02"
Huelva,87 OTRAS MANUFACTURAS DE CONSUMO,2019,EXPORT,"3760229,41"
Huelva,90 OTRAS MERCANCIAS,2019,EXPORT,"519159217,16"
Jaén,Total seleccionado,2019,EXPORT,"1240542336,39"
Jaén,11 PRODUCTOS CÁRNICOS,2019,EXPORT,"11032071,79"
Jaén,12 LACTEOS Y HUEVOS,2019,EXPORT,"11451685,36"
Jaén,13 PRODUCTOS PESQUEROS,2019,EXPORT,"958095,81"
Jaén,14 CEREALES,2019,EXPORT,"125,10"
Jaén,"15 FRUTAS, HORTALIZAS Y LEGUMBRES",2019,EXPORT,"14800919,40"
Jaén,"16 AZUCAR, CAFE Y CACAO",2019,EXPORT,"814424,56"
Jaén,17 PREPARADOS ALIMENTICIOS,2019,EXPORT,"2758992,55"
Jaén,18 BEBIDAS,2019,EXPORT,"1706824,40"
Jaén,19 TABACOS,2019,EXPORT,
Jaén,1A GRASAS Y ACEITES,2019,EXPORT,"254528240,06"
Jaén,1B SEMILLAS Y FRUTOS OLEAGINOSOS,2019,EXPORT,"4859,06"
Jaén,1C PIENSOS ANIMALES,2019,EXPORT,"357437,49"
Jaén,21 CARBON,2019,EXPORT,
Jaén,22 PETROLEO Y DERIVADOS,2019,EXPORT,"28112,03"
Jaén,23 GAS,2019,EXPORT,"432,54"
Jaén,24 CORRIENTE ELECTRICA,2019,EXPORT,
Jaén,31 MAT. PRIMAS ANIMALES Y VEGETAL,2019,EXPORT,"4757077,17"
Jaén,32 MENAS Y MINERALES,2019,EXPORT,"143642,52"
Jaén,41 METALES NO FERROSOS,2019,EXPORT,"21100889,85"
Jaén,42 HIERRO Y ACERO,2019,EXPORT,"1056133,27"
Jaén,43 PRODUCTOS QUIMICOS,2019,EXPORT,"108057520,15"
Jaén,44 OTRAS SEMIMANUFACTURAS,2019,EXPORT,"17107603,46"
Jaén,51 MAQ. ESPECIFICA CIERTAS INDUST,2019,EXPORT,"33363698,82"
Jaén,52 EQUIPO OFICINA Y TELECOMUNIC.,2019,EXPORT,"573279,13"
Jaén,53 MATERIAL TRANSPORTE,2019,EXPORT,"21743402,60"
Jaén,54 OTROS BIENES DE EQUIPO,2019,EXPORT,"677981807,26"
Jaén,61 AUTOMOVILES Y MOTOS,2019,EXPORT,"316705,61"
Jaén,62 COMPONENTES DEL AUTOMOVIL,2019,EXPORT,"18627973,21"
Jaén,71 ELECTRODOMESTICOS,2019,EXPORT,"8527,84"
Jaén,72 ELECTRONICA DE CONSUMO,2019,EXPORT,"5804,77"
Jaén,73 MUEBLES,2019,EXPORT,"4240678,03"
Jaén,74 OTROS BIENES CONSUMO DURADERO,2019,EXPORT,"99414,44"
Jaén,81 TEXTILES Y CONFECCION,2019,EXPORT,"27164288,63"
Jaén,82 CALZADO,2019,EXPORT,"1064592,17"
Jaén,83 JUGUETES,2019,EXPORT,"353387,55"
Jaén,84 ALFARERIA,2019,EXPORT,"1592391,44"
Jaén,85 JOYERIA Y RELOJES,2019,EXPORT,"54589,35"
Jaén,86 CUERO Y MANUFACTURAS DEL CUERO,2019,EXPORT,"2750,60"
Jaén,87 OTRAS MANUFACTURAS DE CONSUMO,2019,EXPORT,"2486767,91"
Jaén,90 OTRAS MERCANCIAS,2019,EXPORT,"197190,46"
Málaga,Total seleccionado,2019,EXPORT,"2244169853,36"
Málaga,11 PRODUCTOS CÁRNICOS,2019,EXPORT,"250648249,92"
Málaga,12 LACTEOS Y HUEVOS,2019,EXPORT,"15818993,16"
Málaga,13 PRODUCTOS PESQUEROS,2019,EXPORT,"40763475,50"
Málaga,14 CEREALES,2019,EXPORT,"3814683,80"
Málaga,"15 FRUTAS, HORTALIZAS Y LEGUMBRES",2019,EXPORT,"515707853,73"
Málaga,"16 AZUCAR, CAFE Y CACAO",2019,EXPORT,"12361398,36"
Málaga,17 PREPARADOS ALIMENTICIOS,2019,EXPORT,"9770027,83"
Málaga,18 BEBIDAS,2019,EXPORT,"17236403,10"
Málaga,19 TABACOS,2019,EXPORT,"2167000,51"
Málaga,1A GRASAS Y ACEITES,2019,EXPORT,"339558582,23"
Málaga,1B SEMILLAS Y FRUTOS OLEAGINOSOS,2019,EXPORT,"1714369,08"
Málaga,1C PIENSOS ANIMALES,2019,EXPORT,"535662,35"
Málaga,21 CARBON,2019,EXPORT,"25414,66"
Málaga,22 PETROLEO Y DERIVADOS,2019,EXPORT,"191642486,60"
Málaga,23 GAS,2019,EXPORT,"3271,12"
Málaga,24 CORRIENTE ELECTRICA,2019,EXPORT,
Málaga,31 MAT. PRIMAS ANIMALES Y VEGETAL,2019,EXPORT,"17859289,69"
Málaga,32 MENAS Y MINERALES,2019,EXPORT,"34943697,60"
Málaga,41 METALES NO FERROSOS,2019,EXPORT,"4703568,05"
Málaga,42 HIERRO Y ACERO,2019,EXPORT,"523920,53"
Málaga,43 PRODUCTOS QUIMICOS,2019,EXPORT,"76926261,34"
Málaga,44 OTRAS SEMIMANUFACTURAS,2019,EXPORT,"31190714,74"
Málaga,51 MAQ. ESPECIFICA CIERTAS INDUST,2019,EXPORT,"38294701,98"
Málaga,52 EQUIPO OFICINA Y TELECOMUNIC.,2019,EXPORT,"35769585,40"
Málaga,53 MATERIAL TRANSPORTE,2019,EXPORT,"10036503,19"
Málaga,54 OTROS BIENES DE EQUIPO,2019,EXPORT,"144803034,34"
Málaga,61 AUTOMOVILES Y MOTOS,2019,EXPORT,"40100802,57"
Málaga,62 COMPONENTES DEL AUTOMOVIL,2019,EXPORT,"36451768,38"
Málaga,71 ELECTRODOMESTICOS,2019,EXPORT,"2807766,20"
Málaga,72 ELECTRONICA DE CONSUMO,2019,EXPORT,"52594961,43"
Málaga,73 MUEBLES,2019,EXPORT,"8116143,62"
Málaga,74 OTROS BIENES CONSUMO DURADERO,2019,EXPORT,"4505849,04"
Málaga,81 TEXTILES Y CONFECCION,2019,EXPORT,"192725861,54"
Málaga,82 CALZADO,2019,EXPORT,"11362409,93"
Málaga,83 JUGUETES,2019,EXPORT,"3216324,75"
Málaga,84 ALFARERIA,2019,EXPORT,"1107425,53"
Málaga,85 JOYERIA Y RELOJES,2019,EXPORT,"21083415,00"
Málaga,86 CUERO Y MANUFACTURAS DEL CUERO,2019,EXPORT,"908112,18"
Málaga,87 OTRAS MANUFACTURAS DE CONSUMO,2019,EXPORT,"25525904,02"
Málaga,90 OTRAS MERCANCIAS,2019,EXPORT,"46843960,36"
Sevilla,Total seleccionado,2019,EXPORT,"6951235436,45"
Sevilla,11 PRODUCTOS CÁRNICOS,2019,EXPORT,"109519053,28"
Sevilla,12 LACTEOS Y HUEVOS,2019,EXPORT,"55782693,09"
Sevilla,13 PRODUCTOS PESQUEROS,2019,EXPORT,"26307196,61"
Sevilla,14 CEREALES,2019,EXPORT,"153242772,85"
Sevilla,"15 FRUTAS, HORTALIZAS Y LEGUMBRES",2019,EXPORT,"839064040,74"
Sevilla,"16 AZUCAR, CAFE Y CACAO",2019,EXPORT,"10261182,63"
Sevilla,17 PREPARADOS ALIMENTICIOS,2019,EXPORT,"47595255,75"
Sevilla,18 BEBIDAS,2019,EXPORT,"22463818,57"
Sevilla,19 TABACOS,2019,EXPORT,"7144300,53"
