fila,subfila,columna,subcolumna,valor
6 SECTOR AUTOMOVIL,,2003,EXPORT,"30232790,09"
7 BIENES DE CONSUMO DURADERO,,2003,EXPORT,"4703611,52"
9 OTRAS MERCANCIAS,,2003,EXPORT,"2132507,81"
8 MANUFACTURAS DE CONSUMO,,2003,EXPORT,"13887252,36"
Total seleccionado,,2003,IMPORT,"185113677,05"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2003,IMPORT,"18463206,62"
2 PRODUCTOS ENERGETICOS,,2003,IMPORT,"19184666,24"
3 MATERIAS PRIMAS,,2003,IMPORT,"5682776,94"
4 SEMIMANUFACTURAS,,2003,IMPORT,"41234417,15"
5 BIENES DE EQUIPO,,2003,IMPORT,"44455214,96"
6 SECTOR AUTOMOVIL,,2003,IMPORT,"30017885,63"
7 BIENES DE CONSUMO DURADERO,,2003,IMPORT,"5626126,56"
9 OTRAS MERCANCIAS,,2003,IMPORT,"1599010,93"
8 MANUFACTURAS DE CONSUMO,,2003,IMPORT,"18850372,00"
Total seleccionado,,2004,EXPORT,"146924722,49"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2004,EXPORT,"21303716,65"
2 PRODUCTOS ENERGETICOS,,2004,EXPORT,"5561649,40"
3 MATERIAS PRIMAS,,2004,EXPORT,"2561818,25"
4 SEMIMANUFACTURAS,,2004,EXPORT,"33659813,23"
5 BIENES DE EQUIPO,,2004,EXPORT,"30985934,61"
6 SECTOR AUTOMOVIL,,2004,EXPORT,"32015029,32"
7 BIENES DE CONSUMO DURADERO,,2004,EXPORT,"4676485,59"
9 OTRAS MERCANCIAS,,2004,EXPORT,"2373933,22"
8 MANUFACTURAS DE CONSUMO,,2004,EXPORT,"13786342,22"
Total seleccionado,,2004,IMPORT,"208410703,59"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2004,IMPORT,"19877295,78"
2 PRODUCTOS ENERGETICOS,,2004,IMPORT,"23337188,92"
3 MATERIAS PRIMAS,,2004,IMPORT,"6432528,78"
4 SEMIMANUFACTURAS,,2004,IMPORT,"45235742,62"
5 BIENES DE EQUIPO,,2004,IMPORT,"50316045,25"
6 SECTOR AUTOMOVIL,,2004,IMPORT,"34806477,63"
7 BIENES DE CONSUMO DURADERO,,2004,IMPORT,"6504648,20"
9 OTRAS MERCANCIAS,,2004,IMPORT,"1790130,76"
8 MANUFACTURAS DE CONSUMO,,2004,IMPORT,"20110645,66"
Total seleccionado,,2005,EXPORT,"155004733,95"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2005,EXPORT,"21861729,63"
2 PRODUCTOS ENERGETICOS,,2005,EXPORT,"6736828,65"
3 MATERIAS PRIMAS,,2005,EXPORT,"2892880,06"
4 SEMIMANUFACTURAS,,2005,EXPORT,"37834082,08"
5 BIENES DE EQUIPO,,2005,EXPORT,"33659443,66"
6 SECTOR AUTOMOVIL,,2005,EXPORT,"30774649,79"
7 BIENES DE CONSUMO DURADERO,,2005,EXPORT,"5045193,61"
9 OTRAS MERCANCIAS,,2005,EXPORT,"2456351,64"
8 MANUFACTURAS DE CONSUMO,,2005,EXPORT,"13743574,84"
Total seleccionado,,2005,IMPORT,"232954465,76"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2005,IMPORT,"21493833,90"
2 PRODUCTOS ENERGETICOS,,2005,IMPORT,"32716809,78"
3 MATERIAS PRIMAS,,2005,IMPORT,"7352497,95"
4 SEMIMANUFACTURAS,,2005,IMPORT,"48293333,39"
5 BIENES DE EQUIPO,,2005,IMPORT,"57159807,17"
6 SECTOR AUTOMOVIL,,2005,IMPORT,"35012203,32"
7 BIENES DE CONSUMO DURADERO,,2005,IMPORT,"7179670,25"
9 OTRAS MERCANCIAS,,2005,IMPORT,"1444956,03"
8 MANUFACTURAS DE CONSUMO,,2005,IMPORT,"22301353,97"
Total seleccionado,,2006,EXPORT,"170438626,91"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2006,EXPORT,"23092730,48"
2 PRODUCTOS ENERGETICOS,,2006,EXPORT,"7844691,77"
3 MATERIAS PRIMAS,,2006,EXPORT,"3366551,39"
4 SEMIMANUFACTURAS,,2006,EXPORT,"43382281,58"
5 BIENES DE EQUIPO,,2006,EXPORT,"37725015,15"
6 SECTOR AUTOMOVIL,,2006,EXPORT,"31769884,06"
7 BIENES DE CONSUMO DURADERO,,2006,EXPORT,"5602703,84"
9 OTRAS MERCANCIAS,,2006,EXPORT,"3114421,80"
8 MANUFACTURAS DE CONSUMO,,2006,EXPORT,"14540346,84"
Total seleccionado,,2006,IMPORT,"262687189,49"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2006,IMPORT,"22095635,78"
2 PRODUCTOS ENERGETICOS,,2006,IMPORT,"41239432,29"
3 MATERIAS PRIMAS,,2006,IMPORT,"9719037,57"
4 SEMIMANUFACTURAS,,2006,IMPORT,"55139455,56"
5 BIENES DE EQUIPO,,2006,IMPORT,"62855846,40"
6 SECTOR AUTOMOVIL,,2006,IMPORT,"37634192,96"
7 BIENES DE CONSUMO DURADERO,,2006,IMPORT,"8201094,90"
9 OTRAS MERCANCIAS,,2006,IMPORT,"1456913,47"
8 MANUFACTURAS DE CONSUMO,,2006,IMPORT,"24345580,56"
Total seleccionado,,2007,EXPORT,"185023217,52"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2007,EXPORT,"24921755,51"
2 PRODUCTOS ENERGETICOS,,2007,EXPORT,"8732838,23"
3 MATERIAS PRIMAS,,2007,EXPORT,"3713675,76"
4 SEMIMANUFACTURAS,,2007,EXPORT,"48565500,67"
5 BIENES DE EQUIPO,,2007,EXPORT,"39524434,23"
6 SECTOR AUTOMOVIL,,2007,EXPORT,"34673498,58"
7 BIENES DE CONSUMO DURADERO,,2007,EXPORT,"5675678,18"
9 OTRAS MERCANCIAS,,2007,EXPORT,"3863446,09"
8 MANUFACTURAS DE CONSUMO,,2007,EXPORT,"15352390,27"
Total seleccionado,,2007,IMPORT,"285038313,42"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2007,IMPORT,"24762731,46"
2 PRODUCTOS ENERGETICOS,,2007,IMPORT,"42547449,79"
3 MATERIAS PRIMAS,,2007,IMPORT,"10315354,47"
4 SEMIMANUFACTURAS,,2007,IMPORT,"61370447,16"
5 BIENES DE EQUIPO,,2007,IMPORT,"66857470,56"
6 SECTOR AUTOMOVIL,,2007,IMPORT,"41648654,48"
7 BIENES DE CONSUMO DURADERO,,2007,IMPORT,"9131587,47"
9 OTRAS MERCANCIAS,,2007,IMPORT,"1677353,35"
8 MANUFACTURAS DE CONSUMO,,2007,IMPORT,"26727264,68"
Total seleccionado,,2008,EXPORT,"189227851,41"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2008,EXPORT,"26874679,88"
2 PRODUCTOS ENERGETICOS,,2008,EXPORT,"12373736,96"
3 MATERIAS PRIMAS,,2008,EXPORT,"3602951,89"
4 SEMIMANUFACTURAS,,2008,EXPORT,"50178545,83"
5 BIENES DE EQUIPO,,2008,EXPORT,"38811305,90"
6 SECTOR AUTOMOVIL,,2008,EXPORT,"32174355,91"
7 BIENES DE CONSUMO DURADERO,,2008,EXPORT,"5152740,10"
9 OTRAS MERCANCIAS,,2008,EXPORT,"4389975,74"
8 MANUFACTURAS DE CONSUMO,,2008,EXPORT,"15669559,19"
Total seleccionado,,2008,IMPORT,"283387764,36"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2008,IMPORT,"26101880,77"
2 PRODUCTOS ENERGETICOS,,2008,IMPORT,"55041600,43"
3 MATERIAS PRIMAS,,2008,IMPORT,"9883935,51"
4 SEMIMANUFACTURAS,,2008,IMPORT,"59589527,10"
5 BIENES DE EQUIPO,,2008,IMPORT,"64576417,26"
6 SECTOR AUTOMOVIL,,2008,IMPORT,"32248014,89"
7 BIENES DE CONSUMO DURADERO,,2008,IMPORT,"7997739,49"
9 OTRAS MERCANCIAS,,2008,IMPORT,"1190481,78"
8 MANUFACTURAS DE CONSUMO,,2008,IMPORT,"26758167,13"
Total seleccionado,,2009,EXPORT,"159889550,15"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2009,EXPORT,"25586802,11"
2 PRODUCTOS ENERGETICOS,,2009,EXPORT,"7262416,82"
3 MATERIAS PRIMAS,,2009,EXPORT,"3134286,80"
4 SEMIMANUFACTURAS,,2009,EXPORT,"41234502,02"
5 BIENES DE EQUIPO,,2009,EXPORT,"32606344,04"
6 SECTOR AUTOMOVIL,,2009,EXPORT,"27387048,25"
7 BIENES DE CONSUMO DURADERO,,2009,EXPORT,"3349342,66"
9 OTRAS MERCANCIAS,,2009,EXPORT,"4519813,06"
8 MANUFACTURAS DE CONSUMO,,2009,EXPORT,"14808994,40"
Total seleccionado,,2009,IMPORT,"206116174,51"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2009,IMPORT,"23112112,26"
2 PRODUCTOS ENERGETICOS,,2009,IMPORT,"33951689,61"
3 MATERIAS PRIMAS,,2009,IMPORT,"6133282,81"
4 SEMIMANUFACTURAS,,2009,IMPORT,"47590617,94"
5 BIENES DE EQUIPO,,2009,IMPORT,"42621858,88"
6 SECTOR AUTOMOVIL,,2009,IMPORT,"22646514,41"
7 BIENES DE CONSUMO DURADERO,,2009,IMPORT,"6598045,79"
9 OTRAS MERCANCIAS,,2009,IMPORT,"745432,05"
8 MANUFACTURAS DE CONSUMO,,2009,IMPORT,"22716620,76"
Total seleccionado,,2010,EXPORT,"186780070,55"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2010,EXPORT,"28097954,92"
2 PRODUCTOS ENERGETICOS,,2010,EXPORT,"9641059,30"
3 MATERIAS PRIMAS,,2010,EXPORT,"4490558,95"
4 SEMIMANUFACTURAS,,2010,EXPORT,"50925692,57"
5 BIENES DE EQUIPO,,2010,EXPORT,"37770095,02"
6 SECTOR AUTOMOVIL,,2010,EXPORT,"29921759,37"
7 BIENES DE CONSUMO DURADERO,,2010,EXPORT,"3597896,56"
9 OTRAS MERCANCIAS,,2010,EXPORT,"6299917,54"
8 MANUFACTURAS DE CONSUMO,,2010,EXPORT,"16035136,33"
Total seleccionado,,2010,IMPORT,"240055850,10"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2010,IMPORT,"24954116,67"
2 PRODUCTOS ENERGETICOS,,2010,IMPORT,"44082453,70"
3 MATERIAS PRIMAS,,2010,IMPORT,"9250794,48"
4 SEMIMANUFACTURAS,,2010,IMPORT,"54464791,99"
5 BIENES DE EQUIPO,,2010,IMPORT,"48242836,05"
6 SECTOR AUTOMOVIL,,2010,IMPORT,"24102717,45"
7 BIENES DE CONSUMO DURADERO,,2010,IMPORT,"8002369,34"
9 OTRAS MERCANCIAS,,2010,IMPORT,"1154197,58"
8 MANUFACTURAS DE CONSUMO,,2010,IMPORT,"25801572,84"
Total seleccionado,,2011,EXPORT,"215230370,71"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2011,EXPORT,"31063806,36"
2 PRODUCTOS ENERGETICOS,,2011,EXPORT,"13497187,40"
3 MATERIAS PRIMAS,,2011,EXPORT,"5883105,56"
4 SEMIMANUFACTURAS,,2011,EXPORT,"56046558,31"
5 BIENES DE EQUIPO,,2011,EXPORT,"43875633,93"
6 SECTOR AUTOMOVIL,,2011,EXPORT,"33301330,40"
7 BIENES DE CONSUMO DURADERO,,2011,EXPORT,"3701990,68"
9 OTRAS MERCANCIAS,,2011,EXPORT,"9675591,47"
8 MANUFACTURAS DE CONSUMO,,2011,EXPORT,"18185166,60"
Total seleccionado,,2011,IMPORT,"263140740,65"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2011,IMPORT,"27452633,18"
2 PRODUCTOS ENERGETICOS,,2011,IMPORT,"56397296,93"
3 MATERIAS PRIMAS,,2011,IMPORT,"11089932,94"
4 SEMIMANUFACTURAS,,2011,IMPORT,"58819124,78"
5 BIENES DE EQUIPO,,2011,IMPORT,"47036554,73"
6 SECTOR AUTOMOVIL,,2011,IMPORT,"27002351,27"
7 BIENES DE CONSUMO DURADERO,,2011,IMPORT,"6515615,18"
9 OTRAS MERCANCIAS,,2011,IMPORT,"1967728,60"
8 MANUFACTURAS DE CONSUMO,,2011,IMPORT,"26859503,04"
Total seleccionado,,2012,EXPORT,"226114593,97"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2012,EXPORT,"34334241,51"
2 PRODUCTOS ENERGETICOS,,2012,EXPORT,"17144229,88"
3 MATERIAS PRIMAS,,2012,EXPORT,"6014272,38"
4 SEMIMANUFACTURAS,,2012,EXPORT,"58019264,83"
5 BIENES DE EQUIPO,,2012,EXPORT,"44129341,27"
6 SECTOR AUTOMOVIL,,2012,EXPORT,"30788270,22"
7 BIENES DE CONSUMO DURADERO,,2012,EXPORT,"3577105,54"
9 OTRAS MERCANCIAS,,2012,EXPORT,"12949069,19"
8 MANUFACTURAS DE CONSUMO,,2012,EXPORT,"19158799,14"
Total seleccionado,,2012,IMPORT,"257945631,01"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2012,IMPORT,"28267688,13"
2 PRODUCTOS ENERGETICOS,,2012,IMPORT,"62190105,65"
3 MATERIAS PRIMAS,,2012,IMPORT,"10042176,73"
4 SEMIMANUFACTURAS,,2012,IMPORT,"56393639,81"
5 BIENES DE EQUIPO,,2012,IMPORT,"43452486,91"
6 SECTOR AUTOMOVIL,,2012,IMPORT,"23744010,28"
7 BIENES DE CONSUMO DURADERO,,2012,IMPORT,"5754788,26"
9 OTRAS MERCANCIAS,,2012,IMPORT,"2196420,54"
8 MANUFACTURAS DE CONSUMO,,2012,IMPORT,"25904314,70"
Total seleccionado,,2013,EXPORT,"235814069,04"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2013,EXPORT,"35846413,46"
2 PRODUCTOS ENERGETICOS,,2013,EXPORT,"16339115,41"
3 MATERIAS PRIMAS,,2013,EXPORT,"6057062,72"
4 SEMIMANUFACTURAS,,2013,EXPORT,"58507692,35"
5 BIENES DE EQUIPO,,2013,EXPORT,"49528718,75"
6 SECTOR AUTOMOVIL,,2013,EXPORT,"33396934,57"
7 BIENES DE CONSUMO DURADERO,,2013,EXPORT,"3544558,16"
9 OTRAS MERCANCIAS,,2013,EXPORT,"11869070,82"
